year,district,household,pop,sex_ratio,district_area,density,in,out,family_pop,social_rate,growth,g_ave,g_rate,marry_rate
104,松山,80051,210433,0.894802715698104,9.2878,22580,10899,12321,2.62873668036627,-1422,-719,210073.5,-0.003422611609746,6.16
104,板橋,204905,555924,0.959880416848815,23.1373,23954,1618,2047,2.71308167199434,-429,-1688,555080,-0.003041003098652,7.20263027518804
104,林口,37919,97887,0.959111377964575,54.1519,1853,519,406,2.58147630475487,113,2463,99118.5,0.024849044325731,7.86888557791863
104,樹林,65068,184153,1.00111926107036,33.1288,5562,677,745,2.83016229175632,-68,96,184201,0.000521169809067,6.87266568227221
104,永和,90680,227221,0.909516446207372,5.7138,39450,912,1036,2.50574547860609,-124,-1812,226315,-0.008006539557696,6.39309351500853
104,汐止,84200,195167,0.962226780076813,71.2354,2752,800,781,2.31789786223278,19,861,195597.5,0.004401896752259,6.38600294502618
104,泰山,27722,78491,0.991803486690182,19.1603,4108,267,303,2.83136137363826,-36,216,78599,0.002748126566496,6.59549138320696
104,淡水,68356,159187,0.930592444363592,70.6565,2296,812,596,2.32879337585581,216,3034,160704,0.018879430505775,6.75646222919664
104,深坑,9326,23622,1.00679636394529,20.5787,1147,82,122,2.53291872185288,-40,-28,23608,-0.001186038630973,6.60597078128308
104,烏來,1799,6164,0.98454603992273,321.1306,19,12,30,3.42634797109505,-18,23,6175.5,0.003724394785847,7.29
104,瑞芳,16079,41280,1.0203602192639,70.7336,579,119,157,2.56732383854717,-38,-304,41128,-0.007391558062634,5.81
104,石碇,3368,7865,1.22615341069912,144.3498,54,12,32,2.33521377672209,-20,-10,7860,-0.001272264631043,4.32597493479229
104,石門,4285,12730,1.08688524590164,51.2645,247,87,112,2.9708284714119,-25,-89,12685.5,-0.007015884277325,4.80807125403957
104,萬華,78148,194833,0.976896149358226,8.8522,21954,9111,9955,2.49312842299227,-844,-494,194586,-0.002538723238054,7.07
104,萬里,7376,22687,1.01572634384718,63.3766,357,74,120,3.0757863340564,-46,-45,22664.5,-0.00198548390655,5.95611285266458
104,蘆洲,68964,199739,0.96901647262941,7.4351,26912,609,719,2.8962792181428,-110,356,199917,0.001780739006688,7.13276394602909
104,貢寮,4428,13097,1.0448087431694,99.9734,129,27,48,2.95776874435411,-21,-237,12978.5,-0.018260970065878,4.15784408084697
104,金山,7011,22396,0.983351044987602,49.2132,452,58,66,3.19440878619312,-8,-136,22328,-0.006091006807596,5.03089143865843
104,雙溪,3837,9413,1.16192007349564,146.2484,63,35,43,2.45321866041178,-8,-168,9329,-0.018008361024761,4.17223856646162
104,鶯歌,29284,89136,1.00305617977528,21.1248,4164,266,499,3.0438464690616,-233,-1171,88550.5,-0.01322409246701,7.81744238590149
105,三峽,41190,112775,1.01222232134892,191.4508,596,419,302,2.73792182568585,117,1405,113477.5,0.01238130907008,6.38
105,三芝,9360,23452,1.06225817798101,65.9909,354,58,79,2.50555555555556,-21,-83,23410.5,-0.003545417654471,4.99402424449377
