year,district,household,pop,sex_ratio,district_area,density,in,out,family_pop,social_rate,growth,g_ave,g_rate,marry_rate
2015,中山,98459,230833,0.8763554486189462,13.6821,16909,13414,13622,2.3444580993103727,-208,517,231091.5,0.0022372090708658,7.34
2015,中正,65110,163403,0.9165259207131128,7.6071,21358,10348,11828,2.509645215788665,-1480,-928,162939.0,-0.0056953829347179,6.78
2015,五股,29324,82255,1.01872576449222,34.8632,2379,306,321,2.805040240076388,-15,668,82589.0,0.0080882441971691,6.53840099771156
2015,信義,89207,229854,0.9219204655674104,11.2077,20451,10772,12223,2.5766363626172835,-1451,-643,229532.5,-0.0028013462145883,7.29
2015,內湖,105468,286047,0.9198171775270644,31.5787,9106,13328,13435,2.712168619865741,-107,1519,286806.5,0.0052962537459925,7.64
2015,八里,13779,37226,1.0013978494623657,39.4933,954,144,149,2.701647434501778,-5,452,37452.0,0.0120687813734914,7.42670139584586
2015,北投,95094,257604,0.9350680568492532,56.8216,4538,10653,11572,2.7089406271689067,-919,258,257733.0,0.0010010359558147,6.67
2015,南港,45923,121386,0.9544971500338132,21.8424,5597,6696,6473,2.643250658711321,223,859,121815.5,0.007051647778813,7.65
2015,土城,85566,239310,0.98217524910752,29.5578,8076,758,934,2.796788444008134,-176,-607,239006.5,-0.002539679883183,7.27656164678758
2015,坪林,2484,6468,1.2631210636808958,170.835,38,22,19,2.603864734299517,3,22,6479.0,0.0033955857385398,4.01699497875628
2015,士林,105599,290649,0.9369497850788044,62.3682,4661,11936,13015,2.7523840187880566,-1079,45,290671.5,0.0001548139394471,7.26
2015,大同,51197,131036,0.95593635250918,5.6815,23045,7067,7556,2.559446842588433,-489,-107,130982.5,-0.0008169030213959,6.93
2015,大安,120229,313926,0.8802355040997598,11.3614,27555,16960,18604,2.611067213401093,-1644,-868,313492.0,-0.002768810687354,6.2
2015,平溪,2356,4942,1.225123818099955,71.3382,68,18,19,2.097623089983022,-1,-68,4908.0,-0.0138549307253463,3.05250305250305
2015,文山,103349,274129,0.928950905265528,31.509,8739,12545,12511,2.6524591432911784,34,1238,274748.0,0.0045059472680419,6.67
2015,新店,122812,299691,0.9378410883790704,120.2255,2498,1132,1334,2.4402419958961663,-202,576,299979.0,0.0019201344094086,4.32597493479229
2015,新莊,147243,411913,0.962686780513837,19.7383,20936,1240,1387,2.7975048049822404,-147,1330,412578.0,0.0032236328645734,7.47193176831678
2015,松山,80051,210433,0.8948027156981037,9.2878,22580,10899,12321,2.6287366803662664,-1422,-719,210073.5,-0.0034226116097461,6.16
2015,板橋,204905,555924,0.9598804168488148,23.1373,23954,1618,2047,2.7130816719943387,-429,-1688,555080.0,-0.0030410030986524,7.20263027518804
2015,林口,37919,97887,0.9591113779645752,54.1519,1853,519,406,2.5814763047548723,113,2463,99118.5,0.0248490443257313,7.86888557791863
2015,樹林,65068,184153,1.0011192610703614,33.1288,5562,677,745,2.8301622917563165,-68,96,184201.0,0.0005211698090672,6.87266568227221
2015,永和,90680,227221,0.9095164462073718,5.7138,39450,912,1036,2.505745478606088,-124,-1812,226315.0,-0.0080065395576961,6.39309351500853
2015,汐止,84200,195167,0.9622267800768132,71.2354,2752,800,781,2.31789786223278,19,861,195597.5,0.0044018967522591,6.38600294502618
2015,泰山,27722,78491,0.991803486690182,19.1603,4108,267,303,2.831361373638265,-36,216,78599.0,0.0027481265664957,6.59549138320696
2015,淡水,68356,159187,0.9305924443635922,70.6565,2296,812,596,2.3287933758558137,216,3034,160704.0,0.0188794305057745,6.75646222919664
2015,深坑,9326,23622,1.0067963639452893,20.5787,1147,82,122,2.5329187218528846,-40,-28,23608.0,-0.0011860386309725,6.60597078128308
2015,烏來,1799,6164,0.9845460399227302,321.1306,19,12,30,3.4263479710950526,-18,23,6175.5,0.0037243947858473,7.29
2015,瑞芳,16079,41280,1.0203602192639,70.7336,579,119,157,2.567323838547173,-38,-304,41128.0,-0.0073915580626337,5.81
